駅名(漢字)	読み	頭文字	母音	県	会社	路線	廃駅	文字数
泉崎	いずみざき	い	IUIAI	福島県	JR東日本	東北本線		2
泉佐野	いずみさの	い	IUIAO	大阪府	南海	本線		3
泉沢	いずみさわ	い	IUIAA	北海道	道南いさりび鉄道			2
和泉砂川	いずみすながわ	い	IUIUAAA	大阪府	JR西日本	阪和線		4
泉田	いずみた	い	IUIA	山形県	JR東日本	奥羽本線		2
泉体育館	いずみたいいくかん	い	IUIAIIUAN	東京都	多摩都市モノレール			4
和泉多摩川	いずみたまがわ	い	IUIAAAA	東京都	小田急	小田原線		5
いずみ中央[神奈川]	いずみちゅうおう	い	IUIUUOO	神奈川県	相鉄	いずみ野線		5
泉中央[宮城]	いずみちゅうおう	い	IUIUUOO	宮城県	仙台市営地下鉄	南北線		3
和泉中央[大阪]	いずみちゅうおう	い	IUIUUOO	大阪府	泉北高速鉄道			4
和泉鳥取	いずみとっとり	い	IUIOOI	大阪府	JR西日本	阪和線		4
いずみ野	いずみの	い	IUIO	神奈川県	相鉄	いずみ野線		4
和泉橋本	いずみはしもと	い	IUIAIOO	大阪府	JR西日本	阪和線		4
和泉府中	いずみふちゅう	い	IUIUUU	大阪府	JR西日本	阪和線		4
出目	いずめ	い	IUE	愛媛県	JR四国	予土線		2
出雲科学館パークタウン	いずもかがくかんぱーくたうん	い	IUOAAUANAAUAUN	島根県	一畑電鉄	北松江線		11
出雲坂根	いずもさかね	い	IUOAAE	島根県	JR西日本	木次線		4
出雲崎	いずもざき	い	IUOAI	新潟県	JR東日本	越後線		3
出雲市	いずもし	い	IUOI	島根県	JR西日本	山陰本線		3
出雲神西	いずもじんざい	い	IUOINAI	島根県	JR西日本	山陰本線		4
出雲須佐	いずもすさ	い	IUOUA	島根県	一畑電鉄	立久恵線	D	4
出雲大社前	いずもたいしゃまえ	い	IUOAIAAE	島根県	一畑電鉄	大社線		5
出雲大東	いずもだいとう	い	IUOAIOO	島根県	JR西日本	木次線		4
出雲高松	いずもたかまつ	い	IUOAAAU	島根県	JR西日本	大社線	D	4
出雲広瀬	いずもひろせ	い	IUOIOE	島根県	一畑電鉄	広瀬線	D	4
出雲三成	いずもみなり	い	IUOIAI	島根県	JR西日本	木次線		4
出雲八代	いずもやしろ	い	IUOAIO	島根県	JR西日本	木次線		4
出雲横田	いずもよこた	い	IUOOOA	島根県	JR西日本	木次線		4
石動	いするぎ	い	IUUI	富山県	あいの風とやま鉄道			2
出馬	いずんま	い	IUNA	静岡県	JR東海	飯田線		2
伊勢朝日	いせあさひ	い	IEAAI	三重県	近鉄	名古屋線		4
伊勢石橋	いせいしばし	い	IEIIAI	三重県	近鉄	大阪線		4
伊勢上野	いせうえの	い	IEUEO	三重県	伊勢鉄道			4
伊勢大井	いせおおい	い	IEOOI	三重県	JR東海	名松線		4
伊勢奥津	いせおきつ	い	IEOIU	三重県	JR東海	名松線		4
伊勢柏崎	いせかしわざき	い	IEAIAAI	三重県	JR東海	紀勢本線		4
伊勢ヶ浜	いせがはま	い	IEAAA	宮崎県	国鉄	細島線	D	4
伊勢鎌倉	いせかまくら	い	IEAAUA	三重県	JR東海	名松線		4
伊勢川口	いせかわぐち	い	IEAAUI	三重県	JR東海	名松線		4
伊勢川島	いせかわしま	い	IEAAIA	三重県	近鉄	湯の山線		4
井関	いせぎ	い	IEI	三重県	JR東海	名松線		2
伊勢崎	いせさき	い	IEAI	群馬県	JR東日本	両毛線		3
伊勢佐木長者町	いせざきちょうじゃまち	い	IEAIOOAAI	神奈川県	横浜市営地下鉄	ブルーライン		7
伊勢市	いせし	い	IEI	三重県	JR東海	参宮線		3
伊勢田	いせだ	い	IEA	京都府	近鉄	京都線		3
伊勢竹原	いせたけはら	い	IEAEAA	三重県	JR東海	名松線		4
伊勢中川	いせなかがわ	い	IEAAAA	三重県	近鉄	大阪線		4
伊勢中原	いせなかはら	い	IEAAAA	三重県	近鉄	山田線		4
伊勢八太	いせはた	い	IEAA	三重県	JR東海	名松線		4
伊勢治田	いせはった	い	IEAA	三重県	三岐鉄道	三岐線		4
伊勢原	いせはら	い	IEAA	神奈川県	小田急	小田原線		3
伊勢松本	いせまつもと	い	IEAUOO	三重県	近鉄	湯の山線		4
伊勢八知	いせやち	い	IEAI	三重県	JR東海	名松線		4
伊勢若松	いせわかまつ	い	IEAAAU	三重県	近鉄	名古屋線		4
五十市	いそいち	い	IOII	宮崎県	JR九州	日豊本線		3
石生	いそう	い	IOO	兵庫県	JR西日本	福知山線		2
遺族会館前	いぞくかいかんまえ	い	IOUAIANAE	大分県	大分交通	別大線	D	5
磯子	いそご	い	IOO	神奈川県	JR東日本	根岸線		2
磯崎	いそざき	い	IOAI	茨城県	ひたちなか海浜鉄道			2
五十猛	いそたけ	い	IOAE	島根県	JR西日本	山陰本線		3
磯ノ浦	いそのうら	い	IOOUA	和歌山県	南海	加太線		3
磯原	いそはら	い	IOAA	茨城県	JR東日本	常磐線		2
磯分内	いそぶんない	い	IOUNAI	北海道	JR北海道	釧網本線		3
磯部(群馬)	いそべ	い	IOE	群馬県	JR東日本	信越本線		2
磯部(石川)	いそべ	い	IOE	石川県	北陸鉄道	浅野川線		2
磯山	いそやま	い	IOAA	三重県	近鉄	名古屋線		2
板荷	いたが	い	IAA	栃木県	東武	日光線		2
井高野	いたかの	い	IAAO	大阪府	大阪市高速電気軌道	今里筋線		3
井田川	いだがわ	い	IAAA	三重県	JR東海	関西本線		3
伊太祈曽	いだきそ	い	IAIO	和歌山県	和歌山電鉄	貴志川線		4
板倉	いたくら	い	IAUA	宮城県	仙北鉄道	登米線	D	2
板倉東洋大前	いたくらとうようだいまえ	い	IAUAOOOOAIAE	群馬県	東武	日光線		6
潮来	いたこ	い	IAO	茨城県	JR東日本	鹿島線		2
板野	いたの	い	IAO	徳島県	JR四国	高徳線		2
板橋	いたばし	い	IAAI	東京都	JR東日本	埼京線		2
板橋区役所前	いたばしくやくしょまえ	い	IAAIUAUOAE	東京都	都営地下鉄	三田線		6
板橋本町	いたばしほんちょう	い	IAAIONOO	東京都	都営地下鉄	三田線		4
飯給	いたぶ	い	IAU	千葉県	小湊鐵道			2
伊丹(JR西日本)	いたみ	い	IAI	兵庫県	JR西日本	福知山線		2
伊丹(阪急)	いたみ	い	IAI	兵庫県	阪急	伊丹線		2
猪田道	いだみち	い	IAII	三重県	伊賀鉄道			3
板持	いたもち	い	IAOI	山口県	JR西日本	美祢線		2
板谷	いたや	い	IAA	山形県	JR東日本	奥羽本線		2
板宿	いたやど	い	IAAO	兵庫県	山陽電鉄	本線		2
板柳	いたやなぎ	い	IAAAI	青森県	JR東日本	五能線		2
市	いち	い	II	広島県	尾道鉄道		D	1
市尾	いちお	い	IIO	奈良県	近鉄	吉野線		2
市岡	いちおか	い	IIOA	岡山県	JR西日本	芸備線		2
市が尾	いちがお	い	IIAO	神奈川県	東急	田園都市線		3
市ヶ谷	いちがや	い	IIAA	東京都	JR東日本	中央本線		3
市川	いちかわ	い	IIAA	千葉県	JR東日本	総武本線		2
市川大野	いちかわおおの	い	IIAAOOO	千葉県	JR東日本	武蔵野線		4
市川塩浜	いちかわしおはま	い	IIAAIOAA	千葉県	JR東日本	京葉線		4
市川大門	いちかわだいもん	い	IIAAAION	山梨県	JR東海	身延線		4
市川本町	いちかわほんまち	い	IIAAONAI	山梨県	JR東海	身延線		4
市川真間	いちかわまま	い	IIAAAA	千葉県	京成	本線		4
市来	いちき	い	III	鹿児島県	JR九州	鹿児島本線		2
一志	いちし	い	III	三重県	JR東海	名松線		2
市島	いちじま	い	IIIA	兵庫県	JR西日本	福知山線		2
一乗寺	いちじょうじ	い	IIOOI	京都府	叡山電鉄	本線		3
一乗谷	いちじょうだに	い	IIOOAI	福井県	JR西日本	越美北線		3
一条橋	いちじょうばし	い	IIOOAI	高知県	とさでん	後免線		3
市城	いちしろ	い	IIIO	群馬県	JR東日本	吾妻線		2
市田	いちだ	い	IIA	長野県	JR東海	飯田線		2
市棚	いちたな	い	IIAA	宮崎県	JR九州	日豊本線		2
市坪	いちつぼ	い	IIUO	愛媛県	JR四国	予讃線		2
市波	いちなみ	い	IIAI	福井県	JR西日本	越美北線		2
一日橋	いちにちばし	い	IIIIAI	沖縄県	沖縄県鉄道	与那原線	D	3
市布	いちぬの	い	IIUO	長崎県	JR九州	長崎本線		2
一之江	いちのえ	い	IIOE	東京都	都営地下鉄	新宿線		3
市ノ川	いちのかわ	い	IIOAA	熊本県	JR九州	豊肥本線		3
市ノ瀬	いちのせ	い	IIOE	山梨県	JR東海	身延線		3
一ノ関	いちのせき	い	IIOEI	岩手県	JR東日本	東北本線		3
一の鳥居	いちのとりい	い	IIOOII	兵庫県	能勢電鉄	妙見線		4
一ノ橋	いちのはし	い	IIOAI	北海道	国鉄	名寄本線	D	3
一戸	いちのへ	い	IIOE	岩手県	IGRいわて銀河鉄道			2
市辺	いちのべ	い	IIOE	滋賀県	近江鉄道	八日市線		2
一宮	いちのみや	い	IIOIA	香川県	琴電	琴平線		2
櫟本	いちのもと	い	IIOOO	奈良県	JR西日本	桜井線		2
一の渡	いちのわたり	い	IIOAAI	岩手県	三陸鉄道	リアス線		3
一ノ割	いちのわり	い	IIOAI	埼玉県	東武	伊勢崎線		3
市場(JR西日本)	いちば	い	IIA	兵庫県	JR西日本	加古川線		2
市場(神鉄)	いちば	い	IIA	兵庫県	神鉄	粟生線		2
市場(福岡)	いちば	い	IIA	福岡県	平成筑豊鉄道	伊田線		2
一畑口	いちばたぐち	い	IIAAUI	島根県	一畑電鉄	北松江線		3
市塙	いちはな	い	IIAA	栃木県	真岡鐵道			2
市原	いちはら	い	IIAA	京都府	叡山電鉄	鞍馬線		2
一分[奈良]	いちぶ	い	IIU	奈良県	近鉄	生駒線		2
一武[熊本]	いちぶ	い	IIU	熊本県	くま川鉄道			2
市振	いちぶり	い	IIUI	新潟県	えちごトキめき鉄道	日本海ひすいライン		2
市部	いちべ	い	IIE	三重県	伊賀鉄道			2
伊知坊	いちぼう	い	IIOO	熊本県	山鹿温泉鉄道		D	3
五日市	いつかいち	い	IUAII	広島県	JR西日本	山陽本線		3
五日町	いつかまち	い	IUAAI	新潟県	JR東日本	上越線		3
一社	いっしゃ	い	IA	愛知県	名古屋市営地下鉄	東山線		2
一勝地	いっしょうち	い	IOOI	熊本県	JR九州	肥薩線		3
五橋	いつつばし	い	IUUAI	宮城県	仙台市営地下鉄	南北線		2
一本杉	いっぽんすぎ	い	IONUI	岩手県	花巻電鉄	鉛線	D	3
一本田	いっぽんでん	い	IONEN	福井県	京福電鉄	丸岡線	D	3
一本松(福岡)	いっぽんまつ	い	IONAU	福岡県	JR九州	日田彦山線		3
一本松(埼玉)	いっぽんまつ	い	IONAU	埼玉県	東武	越生線		3
一本松(北海道)	いっぽんまつ	い	IONAU	北海道	国鉄	名寄本線	D	3
一本柳	いっぽんやなぎ	い	IONAAI	山形県	山形交通	高畠線	D	3
いづろ通	いづろどおり	い	IUOOOI	鹿児島県	鹿児島市電	第一期線		4
井出	いで	い	IE	山梨県	JR東海	身延線		2
出光美術館	いでみつびじゅつかん	い	IEIUIUUAN	福岡県	平成筑豊鉄道	門司港レトロ観光線		5
井戸	いど	い	IO	香川県	琴電	長尾線		2
糸井	いとい	い	IOI	北海道	JR北海道	室蘭本線		2
糸魚川	いといがわ	い	IOIAA	新潟県	えちごトキめき鉄道	日本海ひすいライン		3
糸魚沢	いといざわ	い	IOIAA	北海道	JR北海道	根室本線		3
伊東	いとう	い	IOO	静岡県	JR東日本	伊東線		2
井土ヶ谷	いどがや	い	IOAA	神奈川県	京急	本線		4
糸崎	いとざき	い	IOAI	広島県	JR西日本	山陽本線		2
愛し野	いとしの	い	IOIO	北海道	JR北海道	石北本線		3
糸島高校前	いとしまこうこうまえ	い	IOIAOOOOAE	福岡県	JR九州	筑肥線		5
糸田	いとだ	い	IOA	福岡県	平成筑豊鉄道	糸田線		2
糸貫	いとぬき	い	IOUI	岐阜県	樽見鉄道			2
糸満	いとまん	い	IOAN	沖縄県	沖縄県鉄道	糸満線	D	2
伊奈	いな	い	IA	愛知県	名鉄	名古屋本線		2
伊奈牛	いなうし	い	IAUI	北海道	JR北海道	石北本線	D	3
稲枝	いなえ	い	IAE	滋賀県	JR西日本	東海道本線		2
稲永	いなえい	い	IAEI	愛知県	名古屋臨海鉄道	あおなみ線		2
稲尾	いなお	い	IAO	長野県	JR東日本	大糸線		2
伊那大島	いなおおしま	い	IAOOIA	長野県	JR東海	飯田線		4
田舎館	いなかだて	い	IAAAE	青森県	弘南鉄道	弘南線		3
伊那上郷	いなかみさと	い	IAAIAO	長野県	JR東海	飯田線		4
稲城	いなぎ	い	IAI	東京都	京王	相模原線		2
伊那北	いなきた	い	IAIA	長野県	JR東海	飯田線		3
稲城長沼	いなぎながぬま	い	IAIAAUA	東京都	JR東日本	南武線		4
稲毛	いなげ	い	IAE	千葉県	JR東日本	総武本線		2
稲毛海岸	いなげかいがん	い	IAEAIAN	千葉県	JR東日本	京葉線		4
稲子[静岡]	いなこ	い	IAO	静岡県	JR東海	身延線		2
依那古[三重]	いなこ	い	IAO	三重県	伊賀鉄道			3
伊那小沢	いなこざわ	い	IAOAA	長野県	JR東海	飯田線		4
稲沢	いなざわ	い	IAAA	愛知県	JR東海	東海道本線		2
伊那市	いなし	い	IAI	長野県	JR東海	飯田線		3
稲士別	いなしべつ	い	IAIEU	北海道	JR北海道	根室本線	D	3
伊那新町	いなしんまち	い	IAINAI	長野県	JR東海	飯田線		4
稲梓	いなずさ	い	IAUA	静岡県	伊豆急行			2
稲田	いなだ	い	IAA	茨城県	JR東日本	水戸線		2
伊那田島	いなたじま	い	IAAIA	長野県	JR東海	飯田線		4
稲田堤	いなだづつみ	い	IAAUUI	神奈川県	JR東日本	南武線		3
伊奈中央	いなちゅうおう	い	IAUUOO	埼玉県	埼玉新都市交通			4
稲積公園	いなづみこうえん	い	IAUIOOEN	北海道	JR北海道	函館本線		4
猪名寺	いなでら	い	IAEA	兵庫県	JR西日本	福知山線		3
稲戸井	いなとい	い	IAOI	茨城県	関東鉄道	常総線		3
稲野	いなの	い	IAO	兵庫県	阪急	伊丹線		2
稲葉崎	いなばざき	い	IAAAI	鹿児島県	国鉄	山野線	D	3
因幡船岡	いなばふなおか	い	IAAUAOA	鳥取県	若桜鉄道			4
因幡社	いなばやしろ	い	IAAAIO	鳥取県	JR西日本	因美線		3
稲原	いなはら	い	IAAA	和歌山県	JR西日本	紀勢本線		2
伊那福岡	いなふくおか	い	IAUUOA	長野県	JR東海	飯田線		4
稲穂	いなほ	い	IAO	北海道	JR北海道	函館本線		2
伊那本郷	いなほんごう	い	IAONOO	長野県	JR東海	飯田線		4
伊那松島	いなまつしま	い	IAAUIA	長野県	JR東海	飯田線		4
印南	いなみ	い	IAI	和歌山県	JR西日本	紀勢本線		2
稲嶺	いなみね	い	IAIE	沖縄県	沖縄県鉄道	糸満線	D	2
稲村ヶ崎	いなむらがさき	い	IAUAAAI	神奈川県	江ノ島電鉄			4
伊那八幡	いなやわた	い	IAAAA	長野県	JR東海	飯田線		4
稲荷	いなり	い	IAI	京都府	JR西日本	奈良線		2
稲荷口	いなりぐち	い	IAIUI	愛知県	名鉄	豊川線		3
稲荷町(東京)	いなりちょう	い	IAIAI	東京都	東京メトロ	銀座線		3
稲荷町(富山)	いなりまち	い	IAIAI	富山県	富山地鉄	本線		3
稲荷町(広島)	いなりまち	い	IAIAI	広島県	広島電鉄	本線		3
稲荷山	いなりやま	い	IAIAA	長野県	JR東日本	篠ノ井線		3
稲荷山公園	いなりやまこうえん	い	IAIAAOOEN	埼玉県	西武	池袋線		5
猪苗代	いなわしろ	い	IAAIO	福島県	JR東日本	磐越西線		3
猪苗代湖畔	いなわしろこはん	い	IAAIOOAN	福島県	JR東日本	磐越西線		5
犬飼	いぬかい	い	IUAI	大分県	JR九州	豊肥本線		2
犬川	いぬかわ	い	IUAA	山形県	JR東日本	米坂線		2
犬島新町	いぬじましんまち	い	IUIAINAI	富山県	富山ライトレール			4
犬塚	いぬづか	い	IUUA	福岡県	西鉄	天神大牟田線		2
犬伏	いぬぶし	い	IUUI	徳島県	国鉄	鍛冶屋原線	D	2
犬吠	いぬぼう	い	IUOO	千葉県	銚子電鉄			2
犬山	いぬやま	い	IUAA	愛知県	名鉄	犬山線		2
犬山口	いぬやまぐち	い	IUAAUI	愛知県	名鉄	犬山線		3
犬山遊園	いぬやまゆうえん	い	IUAAUUEN	愛知県	名鉄	犬山線		4
井野(群馬)	いの	い	IO	群馬県	JR東日本	上越線		2
伊野(JR四国)	いの	い	IO	高知県	JR四国	土讃線		2
井野(千葉)	いの	い	IO	千葉県	山万	ユーカリが丘線		2
伊野(とさでん)	いの	い	IO	高知県	とさでん	伊野線		2
伊納[北海道]	いのう	い	IOO	北海道	JR北海道	函館本線		2
居能[山口]	いのう	い	IOO	山口県	JR西日本	宇部線		2
伊野駅前	いのえきまえ	い	IOEIAE	高知県	とさでん	伊野線		4
井の頭公園	いのかしらこうえん	い	IOAIAOOEN	東京都	京王	井の頭線		5
井口(石川)	いのくち	い	IOUI	石川県	北陸鉄道	石川線		2
井口(広島)	いのくち	い	IOUI	広島県	広島電鉄	宮島線		2
伊野商業前	いのしょうぎょうまえ	い	IOOOOOAE	高知県	とさでん	伊野線		5
猪谷	いのたに	い	IOAI	富山県	JR西日本	高山本線		2
渭ノ津	いのつ	い	IOU	北海道	国鉄	札沼線	D	3
いのつき	いのつき	い	IOUI	長崎県	松浦鉄道			4
伊野灘	いのなだ	い	IOAA	島根県	一畑電鉄	北松江線		3
井原(愛知)	いはら	い	IAA	愛知県	豊橋鉄道	東田本線		2
井原(岡山)	いばら	い	IAA	岡山県	井原鉄道			2
井原(井笠鉄道)	いばら	い	IAA	岡山県	井笠鉄道	本線	D	2
井原市	いばらいち	い	IAAII	広島県	JR西日本	芸備線		3
茨木	いばらき	い	IAAI	大阪府	JR西日本	東海道本線		2
茨木市	いばらきし	い	IAAII	大阪府	阪急	京都本線		3
井原里	いはらのさと	い	IAAOAO	大阪府	南海	本線		3
茨目	いばらめ	い	IAAE	新潟県	JR東日本	信越本線		2
揖斐	いび	い	II	岐阜県	養老鉄道			2
伊比井	いびい	い	III	宮崎県	JR九州	日南線		3
指宿	いぶすき	い	IUUI	鹿児島県	JR九州	指宿枕崎線		2
動橋	いぶりはし	い	IUIAI	石川県	JR西日本	北陸本線		2
伊保	いほ	い	IO	兵庫県	山陽電鉄	本線		2
今井	いまい	い	IAI	長野県	JR東日本	信越本線		2
今池(愛知)	いまいけ	い	IAIE	愛知県	名古屋市営地下鉄	東山線		2
今池(大阪)	いまいけ	い	IAIE	大阪府	阪堺電軌	阪堺線		2
今池(福岡)	いまいけ	い	IAIE	福岡県	筑豊電鉄			2
今泉	いまいずみ	い	IAIUI	山形県	JR東日本	米坂線		2
今伊勢	いまいせ	い	IAIE	愛知県	名鉄	名古屋本線		3
今井田	いまいだ	い	IAIA	広島県	JR西日本	可部線	D	3
今市	いまいち	い	IAII	栃木県	JR東日本	日光線		2
今井浜海岸	いまいはまかいがん	い	IAIAAAIAN	静岡県	伊豆急行			5
今金	いまかね	い	IAAE	北海道	国鉄	瀬棚線	D	2
今川(新潟)	いまがわ	い	IAAA	新潟県	JR東日本	羽越本線		2
今川(大阪)	いまがわ	い	IAAA	大阪府	近鉄	南大阪線		2
今川河童	いまがわかっぱ	い	IAAAAA	福岡県	平成筑豊鉄道	田川線		4
今隈	いまぐま	い	IAUA	福岡県	甘木鉄道	甘木線		2
今古閑	いまこが	い	IAOA	熊本県	山鹿温泉鉄道		D	3
今里(近鉄)	いまざと	い	IAAO	大阪府	近鉄	大阪線		2
今里(大阪市営)	いまざと	い	IAAO	大阪府	大阪市高速電気軌道	千日前線		2
今宿	いまじゅく	い	IAUU	福岡県	JR九州	筑肥線		2
今庄	いまじょう	い	IAOO	福井県	JR西日本	北陸本線		2
今津(大分)	いまづ	い	IAU	大分県	JR九州	日豊本線		2
今津(兵庫)	いまづ	い	IAU	兵庫県	阪神	本線		2
今出川	いまでがわ	い	IAEAA	京都府	京都市営地下鉄	烏丸線		3
今富	いまどみ	い	IAOI	山口県	船木鉄道		D	2
今橋	いまばし	い	IAAI	香川県	琴電	志度線		2
今治	いまばり	い	IAAI	愛媛県	JR四国	予讃線		2
今福	いまぶく	い	IAUU	長崎県	松浦鉄道			2
今福鶴見	いまふくつるみ	い	IAUUUUI	大阪府	大阪市高速電気軌道	長堀鶴見緑地線		4
今藤	いまふじ	い	IAUI	熊本県	山鹿温泉鉄道		D	2
今船	いまふね	い	IAUE	大阪府	阪堺電軌	阪堺線		2
今別	いまべつ	い	IAEU	青森県	JR東日本	津軽線		2
今町	いままち	い	IAAI	宮崎県	国鉄	志布志線	D	2
今宮	いまみや	い	IAIA	大阪府	JR西日本	大阪環状線		2
今宮戎	いまみやえびす	い	IAIAEIU	大阪府	南海	高野線		3
今山	いまやま	い	IAAA	大分県	JR九州	日田彦山線		2
伊万里	いまり	い	IAI	佐賀県	JR九州	筑肥線		3
射水市新湊庁舎前	いみずししんみなとちょうしゃまえ	い	IIUIINIAOOOAAE	富山県	万葉線			8
揖屋	いや	い	IA	島根県	JR西日本	山陰本線		2
祖谷口	いやぐち	い	IAUI	徳島県	JR四国	土讃線		3
伊予出石	いよいずし	い	IOIUI	愛媛県	JR四国	予讃線		4
伊予石城	いよいわき	い	IOIAI	愛媛県	JR四国	予讃線		4
伊予大洲	いよおおず	い	IOOOU	愛媛県	JR四国	予讃線		4
伊予大平	いよおおひら	い	IOOOIA	愛媛県	JR四国	予讃線		4
伊予上灘	いよかみなだ	い	IOAIAA	愛媛県	JR四国	予讃線		4
伊予亀岡	いよかめおか	い	IOAEOA	愛媛県	JR四国	予讃線		4
伊与喜	いよき	い	IOI	高知県	土佐くろしお鉄道	中村線		3
伊予小松	いよこまつ	い	IOOAU	愛媛県	JR四国	予讃線		4
伊予西条	いよさいじょう	い	IOAIOO	愛媛県	JR四国	予讃線		4
伊予桜井	いよさくらい	い	IOAUAI	愛媛県	JR四国	予讃線		4
伊予寒川	いよさんがわ	い	IOANAA	愛媛県	JR四国	予讃線		4
伊予市	いよし	い	IOI	愛媛県	JR四国	予讃線		3
伊予白滝	いよしらたき	い	IOIAAI	愛媛県	JR四国	予讃線		4
伊予立川	いよたちかわ	い	IOAIAA	愛媛県	JR四国	予讃線		4
いよ立花	いよたちばな	い	IOAIAA	愛媛県	伊予鉄道	横河原線		4
伊予土居	いよどい	い	IOOI	愛媛県	JR四国	予讃線		4
伊予富田	いよとみた	い	IOOIA	愛媛県	JR四国	予讃線		4
伊予長浜	いよながはま	い	IOAAAA	愛媛県	JR四国	予讃線		4
伊予中山	いよなかやま	い	IOAAAA	愛媛県	JR四国	予讃線		4
伊予氷見	いよひみ	い	IOII	愛媛県	JR四国	予讃線		4
伊予平野	いよひらの	い	IOIAO	愛媛県	JR四国	予讃線		4
伊予北条	いよほうじょう	い	IOOOOO	愛媛県	JR四国	予讃線		4
伊予三島	いよみしま	い	IOIIA	愛媛県	JR四国	予讃線		4
伊予宮野下	いよみやのした	い	IOIAOIA	愛媛県	JR四国	予土線		5
伊予三芳	いよみよし	い	IOIOI	愛媛県	JR四国	予讃線		4
伊予横田	いよよこた	い	IOOOA	愛媛県	JR四国	予讃線		4
伊予吉田	いよよしだ	い	IOOIA	愛媛県	JR四国	予讃線		4
伊予和気	いよわけ	い	IOAE	愛媛県	JR四国	予讃線		4
五十川	いらがわ	い	IAAA	山形県	JR東日本	羽越本線		3
伊里	いり	い	II	岡山県	JR西日本	赤穂線		2
入明	いりあけ	い	IIAE	高知県	JR四国	土讃線		2
入生田	いりうだ	い	IIUA	神奈川県	箱根登山鉄道	箱根登山線		3
入江岡	いりえおか	い	IIEOA	静岡県	静岡鉄道			3
杁ヶ池公園	いりがいけこうえん	い	IIAIEOOEN	愛知県	愛知高速交通	東部丘陵線		5
入曽	いりそ	い	IIO	埼玉県	西武	新宿線		2
いりなか	いりなか	い	IIAA	愛知県	名古屋市営地下鉄	鶴舞線		4
入野(鹿児島)	いりの	い	IIO	鹿児島県	JR九州	指宿枕崎線		2
入広瀬	いりひろせ	い	IIIOE	新潟県	JR東日本	只見線		3
入谷(神奈川)	いりや	い	IIA	神奈川県	JR東日本	相模線		2
入谷(東京)	いりや	い	IIA	東京都	東京メトロ	日比谷線		2
入山瀬	いりやませ	い	IIAAE	静岡県	JR東海	身延線		3
医療センター	いりょうせんたー	い	IOOENAA	兵庫県	ポートライナー			6
入間市	いるまし	い	IUAI	埼玉県	西武	池袋線		3
入地	いれじ	い	IEI	茨城県	関東鉄道	竜ヶ崎線		2
岩井	いわい	い	IAI	千葉県	JR東日本	内房線		2
岩泉	いわいずみ	い	IAIUI	岩手県	JR東日本	岩泉線	D	2
岩泉小本	いわいずみおもと	い	IAIUIOOO	岩手県	三陸鉄道	リアス線		4
祝橋	いわいばし	い	IAIAI	長崎県	国鉄	世知原線	D	2
岩川	いわがわ	い	IAAA	鹿児島県	国鉄	志布志線	D	2
いわき[福島]	いわき	い	IAI	福島県	JR東日本	常磐線		3
磐城[奈良]	いわき	い	IAI	奈良県	近鉄	南大阪線		2
磐城浅川	いわきあさかわ	い	IAIAAAA	福島県	JR東日本	水郡線		4
磐城石井	いわきいしい	い	IAIIII	福島県	JR東日本	水郡線		4
磐城石川	いわきいしかわ	い	IAIIIAA	福島県	JR東日本	水郡線		4
磐城太田	いわきおおた	い	IAIOOA	福島県	JR東日本	常磐線		4
磐城金山	いわきかねやま	い	IAIAEAA	福島県	国鉄	白棚線	D	4
岩北	いわきた	い	IAIA	鹿児島県	国鉄	志布志線	D	2
磐城棚倉	いわきたなくら	い	IAIAAUA	福島県	JR東日本	水郡線		4
磐城常葉	いわきときわ	い	IAIOIA	福島県	JR東日本	磐越東線		4
磐城塙	いわきはなわ	い	IAIAAA	福島県	JR東日本	水郡線		3
岩城みなと	いわきみなと	い	IAIIAO	秋田県	JR東日本	羽越本線		5
磐城守山	いわきもりやま	い	IAIOIAA	福島県	JR東日本	水郡線		4
岩切	いわきり	い	IAII	宮城県	JR東日本	東北本線		2
岩国	いわくに	い	IAUI	山口県	JR西日本	山陽本線		2
岩倉(山口)	いわくら	い	IAUA	山口県	JR西日本	宇部線		2
岩倉(愛知)	いわくら	い	IAUA	愛知県	名鉄	犬山線		2
岩倉(京都)	いわくら	い	IAUA	京都府	叡山電鉄	鞍馬線		2
岩峅寺	いわくらじ	い	IAUAI	富山県	富山地鉄	立山線		3
岩沢	いわさわ	い	IAAA	岩手県	JR東日本	北上線		2
岩島	いわしま	い	IAIA	群馬県	JR東日本	吾妻線		2
岩宿	いわじゅく	い	IAUU	群馬県	JR東日本	両毛線		2
岩代	いわしろ	い	IAIO	和歌山県	JR西日本	紀勢本線		2
岩代飯野	いわしろいいの	い	IAIOIIO	福島県	国鉄	川俣線	D	4
岩代大久保	いわしろおおくぼ	い	IAIOOOUO	福島県	国鉄	川俣線	D	5
岩代川俣	いわしろかわまた	い	IAIOAAAA	福島県	国鉄	川俣線	D	4
岩代清水	いわしろしみず	い	IAIOIIU	福島県	福島交通	飯坂線		4
岩瀬	いわせ	い	IAE	茨城県	JR東日本	水戸線		2
岩瀬浜	いわせはま	い	IAEAA	富山県	富山ライトレール			3
磐田[静岡]	いわた	い	IAA	静岡県	JR東海	東海道本線		2
岩田[山口]	いわた	い	IAA	山口県	JR西日本	山陽本線		2
岩滝口	いわたきぐち	い	IAAIUI	京都府	京都丹後鉄道	宮豊線		3
岩館	いわだて	い	IAAE	秋田県	JR東日本	五能線		2
岩知志	いわちし	い	IAII	北海道	国鉄	富内線	D	3
